 Output file for Statistics Values Calculation.
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION7,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION7/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION7,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION7/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION0,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION0/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION0,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION0/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION1,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION1/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION1,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION1/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION15,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION15/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION15,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION15/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION6,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION6/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION6,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION6/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION13,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION13/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION13,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION13/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,EndSectionData,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/EndSectionData/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,EndSectionData,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/EndSectionData/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION4,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION4/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION4,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION4/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION11,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION11/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION11,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION11/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION18,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION18/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION18,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION18/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION5,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION5/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION5,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION5/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P006,Section,SECTION20,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION20/DSP_FOR_PD.csv',Error on line 121
Exception at loading the PERCLOS data.,Participant,P006,Section,SECTION20,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P006/ClippedData/SECTION20/PERCLOS.csv',Error on line 137
Exception at loading the Eyetracking data.,Participant,P080,Section,EndSectionData,Exception:,[Errno 2] No such file or directory: '/home/srinathsibi/Documents/NightwingAnalysis/Data/P080/ClippedData/EndSectionData/DSP_FOR_PD.csv',Error on line 121
